,batter_name,pitcher_name,avg_ev,avg_la
635039,Trevor Story,Kyle Gibson,89.18871186340691,16.61242409843655
735235,Jesus Sanchez,Max Scherzer,89.17975904032201,11.029881892012368
339228,Yu Chang,Hunter Greene,89.17737087550137,16.4887638121184
732855,Matt Reynolds,Mitch Keller,89.17476322161201,6.362228780727934
472672,Brandon Drury,Mitch Keller,89.1616575298904,14.045106696752246
734207,Eric Hosmer,Kyle Gibson,89.15756414827709,2.8369453783426386
732965,Edward Olivares,Pablo Lopez,89.13940034568154,6.095813539286999
741837,Michael Harris II,Patrick Corbin,89.11388164093042,2.2787760003486563
734732,Gary Sanchez,Zack Greinke,89.09830049315298,12.954965194381684
741114,Matt Carpenter,Logan Webb,89.09480582057046,20.679713576346877
731976,Shea Langeliers,Shohei Ohtani,89.08157150894385,17.639761930614036
732353,DJ LeMahieu,Logan Webb,89.0787794780621,4.128255194521843
742112,Trey Mancini,Dylan Cease,89.05416850932109,12.199505792681993
738226,Brendan Donovan,Alek Manoah,89.03238150350951,6.117224799062845
721225,Jesse Winker,Shane Bieber,88.98653443709856,18.05221585336295
654214,Kevin Plawecki,Kyle Gibson,88.96318486906581,12.580170648734658
738482,Daniel Vogelbach,Sandy Alcantara,88.95435666215161,19.993003453682324
729032,Avisail Garcia,Max Scherzer,88.93186835359079,5.020544116566677
742264,Yuli Gurriel,Dylan Cease,88.91465990003005,14.277084086116174
677704,Sheldon Neuse,Shohei Ohtani,88.90696862987984,0.6314952176115913
738467,Francisco Lindor,Sandy Alcantara,88.90621903406551,15.696248091765765
729816,Jose Miranda,Zack Greinke,88.87573219820115,11.875549117512787
700098,Mike Ford,Kyle Muller,88.85814485977882,15.30501344668218
741876,Travis d'Arnaud,Patrick Corbin,88.8556953097507,13.091526581659878
439927,Adam Duvall,Patrick Corbin,88.84033295575968,18.597585956036916
730143,Anthony Rendon,Kyle Muller,88.83942918070537,19.197424713371596
637147,Max Kepler,Zack Greinke,88.83414888186978,13.21347086755941
421624,Dominic Smith,Sandy Alcantara,88.775174801222,10.064986669438042
742028,Nick Castellanos,Jacob deGrom,88.76244641389,15.132079463564326
612044,Franchy Cordero,Kyle Gibson,88.73117931062393,9.857080634176782
733490,Spencer Torkelson,Shane McClanahan,88.71959353501903,11.935089675850872
731722,Austin Hays,Corey Kluber,88.68884004634988,11.219751975955669
721956,Hunter Dozier,Pablo Lopez,88.68707416303147,13.482247987855985
743113,Wil Myers,German Marquez,88.67877281951553,12.625523730450572
453018,Mike Ford,Patrick Corbin,88.67875580726968,15.825889507674122
731404,Adley Rutschman,Corey Kluber,88.66664667155464,15.451373775347266
738485,Eduardo Escobar,Sandy Alcantara,88.66171106131013,19.953102233217425
731974,Seth Brown,Shohei Ohtani,88.62945597291281,15.832446691651755
327771,Jonathan Villar,Corbin Burnes,88.6285830402956,-2.979482176339507
655703,Ramon Laureano,Shohei Ohtani,88.61033438096236,15.737616303158001
338513,Michael Brantley,Dylan Cease,88.59422484910206,15.00534464855391
251487,Mike Ford,Shane Bieber,88.59294806007559,18.21485714650129
733957,Jorge Alfaro,German Marquez,88.58020242962014,7.837254902773548
743127,Austin Nola,German Marquez,88.55821561099535,10.430320207352672
729037,Brian Anderson,Max Scherzer,88.50283157802446,6.971153192856097
737881,Darin Ruf,Sandy Alcantara,88.50002996505694,16.191787158100443
469064,Yoshi Tsutsugo,Hunter Greene,88.48041485494177,9.632134533834835
741072,Jose Trevino,Logan Webb,88.46776468858127,10.896623296424352
734273,Yu Chang,Kyle Gibson,88.45914155319764,14.429874959374056
732249,Jack Suwinski,Hunter Greene,88.45067958018556,13.9162460617075
742012,Jean Segura,Jacob deGrom,88.43382319603761,5.7934271035479465
294784,Austin Meadows,Shane McClanahan,88.43154725710367,18.321511980666067
439892,Jonathan Villar,Kyle Muller,88.42800069975138,-1.3775606865584473
735335,Pavin Smith,Julio Urias,88.41157961472591,15.093117769870739
466352,Alex Kirilloff,Zack Greinke,88.41101672549827,5.730427893399581
