,batter_name,batter_team,pitcher_name,avg_ev,avg_la
749059,Jake Cronenworth,SD,Jose Urena,87.27761760891022,16.987619987927566
443847,Edmundo Sosa,STL,Kevin Gausman,87.20660884088527,10.777383254112962
739440,Riley Greene,DET,Zach Eflin,87.1731955584112,4.46028718305504
739438,Kody Clemens,DET,Zach Eflin,87.15326028138527,23.196062875296747
748471,Adam Frazier,SEA,Aaron Civale,87.14035645607585,16.19311641918072
739456,Jonathan Schoop,DET,Zach Eflin,87.10960680063165,10.30374843304234
749054,Brandon Drury,SD,Jose Urena,87.0904217162706,23.693041103832318
921,Raimel Tapia,BOS,Dean Kremer,87.0671080586051,3.5098421769761448
738446,Adolis Garcia,TEX,Zack Wheeler,87.04041625410267,6.993781725520856
737350,Cedric Mullins,BAL,Chris Sale,87.03703109203308,19.712683095299443
739406,Javier Baez,DET,Zach Eflin,87.02515812431405,11.28958439365732
739447,Eric Haase,DET,Zach Eflin,86.98278278903678,18.81599808403943
676183,Nick Senzel,CIN,Rich Hill,86.9759431362382,11.708402542170262
739605,Abraham Toro,SEA,Aaron Civale,86.96141740344477,22.915243301812453
741286,Daulton Varsho,ARI,Clayton Kershaw,86.92650914951507,12.879595912777532
749073,Jurickson Profar,SD,Jose Urena,86.91576486512075,11.409781589252416
744428,Jeff McNeil,NYM,Edward Cabrera,86.8967135702859,10.596944633024407
700452,Alek Thomas,ARI,Clayton Kershaw,86.89478926563267,-1.8458632224520881
741180,JJ Bleday,MIA,Tylor Megill,86.87749449193629,32.27003633071296
474312,Robbie Grossman,DET,Zach Eflin,86.85982775326595,18.631300773749306
739312,Tyler Naquin,NYM,Edward Cabrera,86.82036166601385,10.203721074828984
662542,Tyler O'Neill,STL,Kevin Gausman,86.8203241892002,5.687473310864259
474602,Austin Romine,STL,Kevin Gausman,86.81860654387351,5.67042256945178
344467,Michael Brantley,HOU,Lucas Giolito,86.79404970895591,20.16618079588802
738304,Aaron Hicks,NYY,Alex Cobb,86.7736420139553,14.584406801769397
700175,Connor Joe,COL,Michael Wacha,86.72918356167924,1.2444035379303242
739611,Curt Casali,SEA,Aaron Civale,86.72786099537332,26.026876017143394
3994,Aledmys Diaz,OAK,Patrick Sandoval,86.71147434160592,13.062558698085013
605646,Andrew Benintendi,NYY,Alex Cobb,86.70995800449741,13.086478246484731
737926,Sean Murphy,OAK,Patrick Sandoval,86.70860241248032,16.532947022038446
733891,Victor Reyes,DET,Zach Eflin,86.70241518446687,14.043472473221621
475018,Yoshi Tsutsugo,PIT,Nick Lodolo,86.69454725195097,7.85058746623456
738173,Kevin Newman,PIT,Nick Lodolo,86.67524435171511,4.683246731762915
667432,Ozzie Albies,ATL,Josiah Gray,86.674491920932,11.665227062730445
737639,Tyler Nevin,BAL,Chris Sale,86.6707261259166,18.600891496121545
748210,Alex Bregman,HOU,Lucas Giolito,86.61078620723727,17.130929958212125
738334,Marwin Gonzalez,NYY,Alex Cobb,86.5577993523011,20.79394065234829
771,Adam Frazier,BAL,Chris Sale,86.50594564318244,9.210153073189321
748204,Jeremy Pena,HOU,Lucas Giolito,86.50572907335349,10.239672472539004
737680,Jorge Mateo,BAL,Chris Sale,86.5001853103155,11.79053221820972
738743,Kyle Farmer,CIN,Rich Hill,86.49015193481044,11.355363312673516
741440,Luis Urias,MIL,Justin Steele,86.48406511905026,13.777623302421134
748613,Isiah Kiner-Falefa,NYY,Alex Cobb,86.46345178857264,9.318996021147267
472306,Alex Kirilloff,MIN,Jordan Lyles,86.41301529754399,7.057862642431852
732234,Kevin Plawecki,TEX,Zack Wheeler,86.40312321441652,13.351797600417319
466519,Johan Camargo,PHI,Nathan Eovaldi,86.3976213945789,13.363764997994618
742738,Luis Guillorme,NYM,Edward Cabrera,86.38895414101842,4.279158509635215
737672,Rougned Odor,BAL,Chris Sale,86.38451955834603,24.562780177876256
643101,Max Kepler,MIN,Jordan Lyles,86.36334743056699,16.1267695020602
728871,Miguel Rojas,MIA,Tylor Megill,86.35657459435599,14.086169594468137
748587,Oswaldo Cabrera,NYY,Alex Cobb,86.35287809036657,14.988324808184142
740507,Mauricio Dubon,HOU,Lucas Giolito,86.34392508585755,14.259849071754614
360859,Oscar Mercado,PHI,Nathan Eovaldi,86.34180397267133,20.10071178254852
744194,Yadier Molina,STL,Kevin Gausman,86.32757746698788,17.588446639869318
1193,Eric Hosmer,CHC,Brandon Woodruff,86.3211617452676,10.439463301217973
1609,Trea Turner,PHI,Nathan Eovaldi,86.31509284302135,16.286050513705174
738933,Kyle Isbel,KC,Sonny Gray,86.30883823978944,17.521612444977993
739453,Jeimer Candelario,DET,Zach Eflin,86.27637141825976,22.319464391316288
476325,Alex Call,CLE,Logan Gilbert,86.27516243321082,18.021716766570194
734975,Joey Wendle,MIA,Tylor Megill,86.25647123055066,7.01731102097459
552636,Nomar Mazara,SD,Jose Urena,86.23516835029311,17.9441780463785
738650,Patrick Wisdom,CHC,Brandon Woodruff,86.23302093224558,23.40087712902862
475870,Christian Vazquez,BOS,Dean Kremer,86.22322489090783,19.758253387716575
749086,Ha-Seong Kim,SD,Jose Urena,86.21986850531543,14.759185299267822
744450,Brandon Nimmo,NYM,Edward Cabrera,86.19832863513965,4.99922568855209
738182,Tucupita Marcano,PIT,Nick Lodolo,86.17528865704418,8.374248748967851
738797,Austin Romine,CIN,Rich Hill,86.1743164330533,9.735247653950802
737646,Robinson Chirinos,BAL,Chris Sale,86.14328727748409,18.555697417242367
738640,Christopher Morel,CHC,Brandon Woodruff,86.14286237638905,5.815579023748065
738440,Marcus Semien,TEX,Zack Wheeler,86.11700008975997,28.514986629772675
735377,Kolten Wong,MIL,Justin Steele,86.08348808865371,12.543297502083743
744185,Juan Yepez,STL,Kevin Gausman,86.04537407849175,20.222170409795716
735252,Jordan Luplow,ARI,Clayton Kershaw,85.94392148373737,9.082564717876776
738184,Miguel Andujar,PIT,Nick Lodolo,85.90701239801503,7.771230037693157
10789,Reese McGuire,TOR,Jack Flaherty,85.90073633309753,12.08418442700585
1970,Andrew McCutchen,PIT,Nick Lodolo,85.89379554745824,19.51675672208805
748907,Justin Turner,LAD,Madison Bumgarner,85.83748561165797,13.960878787878789
734994,Jacob Stallings,MIA,Tylor Megill,85.77875228973272,11.93341229193342
744568,Edmundo Sosa,PHI,Nathan Eovaldi,85.77349727422848,5.142235928096697
740686,Gary Sanchez,MIN,Jordan Lyles,85.75593863268227,8.93692982949917
739444,Spencer Torkelson,DET,Zach Eflin,85.7246290634372,6.446122227962089
424613,Jose Siri,HOU,Lucas Giolito,85.71832493065972,16.287443915815906
670605,Richie Palacios,CLE,Logan Gilbert,85.7133391811437,15.627987634120112
738649,Alfonso Rivas,CHC,Brandon Woodruff,85.7058608058608,3.9586514195186964
357455,Sergio Alcantara,SD,Jose Urena,85.64380898234919,13.481191661760631
632356,Nick Madrigal,CHC,Brandon Woodruff,85.63127180647335,3.0251469724034488
742241,Dylan Carlson,STL,Kevin Gausman,85.61172924295353,11.959652613920536
747963,Bryson Stott,PHI,Nathan Eovaldi,85.56972465715782,12.12952074793356
744199,Tommy Edman,STL,Kevin Gausman,85.53331278048653,19.28470193755641
736675,Jose Iglesias,COL,Michael Wacha,85.52180994345208,3.3484880109576713
558748,Michael Perez,NYM,Edward Cabrera,85.43061099133422,16.14519205423086
738922,Michael Massey,KC,Sonny Gray,85.38504998094689,20.337084623323015
2665,Michael A. Taylor,MIN,Jordan Lyles,85.38204947680754,13.975627627900252
541653,Seth Beer,ARI,Clayton Kershaw,85.36450631414874,14.812391067538124
711589,Willi Castro,DET,Zach Eflin,85.34592339766324,17.341347595541727
747206,Vaughn Grissom,ATL,Josiah Gray,85.31686830777508,8.794923733512585
478189,Eric Hosmer,SD,Jose Urena,85.31370521886937,-4.711351270673762
748452,Ty France,SEA,Aaron Civale,85.31138949898141,6.121473586953976
486367,Didi Gregorius,PHI,Nathan Eovaldi,85.2598370920703,12.81006265561747
715403,Jarren Duran,BOS,Dean Kremer,85.24890099646416,0.8581223328591753
399061,Oscar Mercado,CLE,Logan Gilbert,85.24884775718107,18.573910102243435
747703,Josh Bell,SD,Jose Urena,85.19467605014631,10.714657541597688
748758,Andres Gimenez,CLE,Logan Gilbert,85.16429391853113,14.327198722452614
748477,J.P. Crawford,SEA,Aaron Civale,85.1591338608409,3.904300475643759
667060,Miguel Andujar,NYY,Alex Cobb,85.15241897145572,10.637626226113596
478230,CJ Abrams,SD,Jose Urena,85.15018546624509,4.362909582077694
728485,Yan Gomes,CHC,Brandon Woodruff,85.14910800335218,7.056563478626169
506192,Jed Lowrie,OAK,Patrick Sandoval,85.13794033031088,12.604091118681787
744190,Corey Dickerson,STL,Kevin Gausman,84.94258796455257,13.015265451843623
748475,Jarred Kelenic,SEA,Aaron Civale,84.78592119970193,7.210646423248883
733260,Nicky Lopez,KC,Sonny Gray,84.75246193601969,6.534118710139849
738633,P.J. Higgins,CHC,Brandon Woodruff,84.63089141842691,10.244341875872408
535185,Brett Phillips,BAL,Chris Sale,84.62500724094555,19.385249847724683
740675,Ryan Jeffers,MIN,Jordan Lyles,84.57747014886246,15.164416529167925
738468,Leody Taveras,TEX,Zack Wheeler,84.56889486976976,20.34819276076425
749077,Trent Grisham,SD,Jose Urena,84.4920137000175,14.656572205562933
1303,Zach McKinstry,DET,Zach Eflin,84.45040213898062,5.383804768911152
733880,Tucker Barnhart,DET,Zach Eflin,84.42327230818016,7.451912065999802
4751,Luis Arraez,MIA,Tylor Megill,84.37404902713214,1.5080517002847813
741552,Garrett Hampson,COL,Michael Wacha,84.37241533187873,7.395212724061324
464881,Zach McKinstry,LAD,Madison Bumgarner,84.36118829071133,12.53057915378642
748767,Luke Maile,CLE,Logan Gilbert,84.32196677314546,20.31883340081985
728599,Aristides Aquino,CIN,Rich Hill,84.2982036396228,18.818709613278664
738807,Jake Fraley,CIN,Rich Hill,84.20361017235507,17.78893226053328
748618,Harrison Bader,NYY,Alex Cobb,84.14892948774849,23.19763336152195
2956,Omar Narvaez,NYM,Edward Cabrera,84.13419088248041,12.57149583234751
346738,Harrison Bader,STL,Kevin Gausman,84.10610778602971,21.793565758849
734605,Jonathan India,CIN,Rich Hill,84.10064233583248,14.749980834836139
743466,Whit Merrifield,TOR,Jack Flaherty,84.02821369656705,21.684428535370717
735469,Omar Narvaez,MIL,Justin Steele,83.99689822707172,17.676294220195796
658529,Nick Pratto,KC,Sonny Gray,83.97651515151514,18.576144895305124
743509,Santiago Espinal,TOR,Jack Flaherty,83.9191433731987,20.281746448951356
